ID,Name,Area,Purpose,Jurisdiction,Year of Deployment,Algorithm or Model Type,Manner of Procurement,Developed For or Requested By,Developed By,Proposed or Implemented,Databases Relied On Training or Matching,Examples from Other Jurisdictions,Public Documentation,News Reports,Notes
1,AI Vision,Policing and Surveillance,Facial Recognition,New Delhi,2015,Machine Learning for Image Recognition,,Delhi Police,Innefu Labs,Implemented,"Voter ID, Driver's License, CCTNS, Unidentified Dead Bodies",,https://www.innefu.com/CaseStudy_DelhiPolice.pdf,https://thewire.in/government/delhi-police-is-now-using-facial-recognition-software-to-screen-habitual-protestors; https://www.thehindu.com/news/cities/Delhi/high-court-slams-facial-recognition-software/article26132919.ece,
2,FaceTagr,Policing and Surveillance,Facial Recognition,Chennai,2017,Machine Learning for Image Recognition,,Chennai Police,FaceTagr by Haliscape Business Solutions,Implemented,"SCRB Databases, CCTNS",,,https://www.firstpost.com/tech/news-analysis/chennai-police-to-expand-the-use-of-facetagr-a-facial-recognition-technology-to-curb-inter-state-robbers-4451899.html; https://www.medianama.com/2020/11/223-tn-police-catch-criminal-using-facial-recognition-issues/,
3,FaceTagr,Policing and Surveillance,Facial Recognition,Chitoor,2017,Machine Learning for Image Recognition,,Chitoor Police,FaceTagr by Haliscape Business Solutions,Implemented,"SCRB Databases, CCTNS",,,https://facetagr.com/chittoor-police-launch-face-recognition-app/,
4,NeoFace,Policing and Surveillance,Facial Recognition,Surat,2015,Machine Learning for Image Recognition,,Surat City Police (Picture Intelligence Unit),NEC,Implemented,,,,https://timesofindia.indiatimes.com/city/surat/In-a-first-real-time-facial-recognition-system-launched-by-Surat-police/articleshow/48135306.cms,
5,AMBIS,Policing and Surveillance,Facial Recognition,Maharasthra,2019,Machine Learning for Image Recognition,Open Tender,Maharashtra Police,IDEMIA,Implemented,,,,https://www.tribuneindia.com/news/archive/nation/600-criminals-identified-during-beta-testing-of-police-search-engine-810267; https://indianexpress.com/article/explained/biometric-identification-system-iris-fingerprint-scans-to-fight-crime-5864905/,
6,NeoFace,Policing and Surveillance,Facial Recognition,Vijaywada,2016,Machine Learning for Image Recognition,,Vijaywada City Policy,NEC,Implemented,,,https://in.nec.com/en_IN/press/201608/global_20160812_01.html,,
7,,Policing and Surveillance,Facial Recognition,Jaipur,2017,Machine Learning for Image Recognition,,Jaipur City Police,Tech Mahindra,Implemented,,,,https://timesofindia.indiatimes.com/city/jaipur/facial-recognition-software-to-track-offenders-suspects/articleshow/58888662.cms,
8,Mumbai City Surveillance Project,Policing and Surveillance,Facial Recognition,Mumbai,2015,Machine Learning for Image Recognition,,Mumbai Police,L&T,Implemented,,,,https://mumbaimirror.indiatimes.com/mumbai/cover-story/eye-on-mumbai/articleshow/54634572.cms,
9,Punjab Artificial Intelligence System (PAIS),Policing and Surveillance,"Facial Recognition, Crime Data Analytics",Punjab,2017,Machine Learning for Image Recognition,,Punjab Police,Staqu,Implemented,,,,https://www.hindustantimes.com/chandigarh/patiala-police-nab-2-criminals-using-face-recognition-app/story-ZiGYD3Bh0GzUbSPls5S2JJ.html,
10,,Policing and Surveillance,Facial Recognition,Uttarakhand,2018,Machine Learning for Image Recognition,,Uttarakhand Police,Staqu,Implemented,,,,https://www.hindustantimes.com/dehradun/uttarakhand-police-acquire-face-recognition-software-to-help-nab-criminals/story-hIO0dmwRfOcK9npC0IMjtM.html,
